# Dis3L2select_12May2020_taxa.txt
# Taxonomic information for Dis3L2/Ssd1 homologs
# Edward.Wallace@ed.ac.uk, 12 May 2020
# 
ID	Organism	Info	Clade	Extension
NP_010579.1	Saccharomyces cerevisiae	NP_010579.1 mRNA-binding translational repressor SSD1 [Saccharomyces cerevisiae S288C]	Saccharomycotina	Ssd1
XP_446854.1	Candida glabrata	XP_446854.1 uncharacterized protein CAGL0H01287g [Candida glabrata]	Saccharomycotina	
NP_982470.1	Eremothecium gossypii	NP_982470.1 AAL072Cp [Eremothecium gossypii ATCC 10895]	Saccharomycotina	
XP_452671.1	Kluyveromyces lactis	XP_452671.1 uncharacterized protein KLLA0_C10571g [Kluyveromyces lactis]	Saccharomycotina	
XP_721868.2	Candida albicans	XP_721868.2 mRNA-binding translational repressor [Candida albicans SC5314]	Saccharomycotina	Ssd1
XP_462426.1	Debaryomyces hansenii	XP_462426.1 DEHA2G20328p [Debaryomyces hansenii CBS767]	Saccharomycotina	
XP_028889211.1	Candida auris	XP_028889211.1 uncharacterized protein CJI97_004362 [Candida auris]	Saccharomycotina	
ODV97345.1	Pachysolen tannophilus	ODV97345.1 hypothetical protein PACTADRAFT_40282 [Pachysolen tannophilus NRRL Y-2460]	Saccharomycotina	
XP_002491774.1	Komagataella phaffii	XP_002491774.1 Protein with a role in maintenance of cellular integrity [Komagataella phaffii GS115]	Saccharomycotina	
XP_505385.1	Yarrowia lipolytica	XP_505385.1 YALI0F13717p [Yarrowia lipolytica CLIB122]	Saccharomycotina	
SMY19906.1	Zymoseptoria tritici	SMY19906.1 unnamed protein product [Zymoseptoria tritici ST99CH_1A5]	Pezizomycotina	
XP_001797133.1	Parastagonospora nodorum	XP_001797133.1 hypothetical protein SNOG_06769 [Parastagonospora nodorum SN15]	Pezizomycotina	
XP_001590366.1	Sclerotinia sclerotiorum	XP_001590366.1 hypothetical protein SS1G_09131 [Sclerotinia sclerotiorum 1980 UF-70]	Pezizomycotina	
XP_961563.2	Neurospora crassa	XP_961563.2 cell wall biogenesis protein phosphatase Ssd1 [Neurospora crassa OR74A]	Pezizomycotina	
XP_011326696.1	Fusarium graminearum	XP_011326696.1 hypothetical protein FGSG_07009 [Fusarium graminearum PH-1]	Pezizomycotina	
EEH08335.1	Histoplasma capsulatum	EEH08335.1 conserved hypothetical protein [Histoplasma capsulatum G186AR]	Pezizomycotina	
XP_001243079.2	Coccidioides immitis	XP_001243079.2 VacB and RNase II family 3'-5' exoribonuclease [Coccidioides immitis RS]	Pezizomycotina	
XP_752507.1	Aspergillus fumigatus	"XP_752507.1 cell wall biogenesis protein phosphatase Ssd1, putative [Aspergillus fumigatus Af293]"	Pezizomycotina	
XP_658762.1	Aspergillus nidulans	XP_658762.1 hypothetical protein AN1158.2 [Aspergillus nidulans FGSC A4]	Pezizomycotina	
CRL22673.1	Penicillium camemberti	CRL22673.1 Ribonuclease II/R [Penicillium camemberti]	Pezizomycotina	
XP_002839150.1	Tuber melanosporum	XP_002839150.1 hypothetical protein [Tuber melanosporum Mel28]	Pezizomycotina	
ORY78509.1	Protomyces lactucaedebilis	ORY78509.1 hypothetical protein BCR37DRAFT_350168 [Protomyces lactucaedebilis]	Taphrinomycotina	
ODQ70873.1	Lipomyces starkeyi	ODQ70873.1 hypothetical protein LIPSTDRAFT_160987 [Lipomyces starkeyi NRRL Y-11557]	Saccharomycotina	
XP_019020799.1	Saitoella complicata	XP_019020799.1 RNB-domain-containing protein [Saitoella complicata NRRL Y-17804]	Taphrinomycotina	
GAO51867.1	Saitoella complicata	GAO51867.1 hypothetical protein G7K_5958-t1 [Saitoella complicata NRRL Y-17804]	Taphrinomycotina	
ODV91698.1	Tortispora caseinolytica	ODV91698.1 hypothetical protein CANCADRAFT_55517 [Tortispora caseinolytica NRRL Y-17796]	Saccharomycotina	
XP_003324138.1	Puccinia graminis	XP_003324138.1 hypothetical protein PGTG_06040 [Puccinia graminis f. sp. tritici CRL 75-36-700-3]	Basidiomycota	
XP_007329347.1	Agaricus bisporus	XP_007329347.1 hypothetical protein AGABI1DRAFT_113317 [Agaricus bisporus var. burnettii JB137-S8]	Basidiomycota	
EGO01908.1	Serpula lacrymans	EGO01908.1 hypothetical protein SERLA73DRAFT_48904 [Serpula lacrymans var. lacrymans S7.3]	Basidiomycota	
XP_012050922.1	Cryptococcus neoformans	XP_012050922.1 hypothetical protein CNAG_03345 [Cryptococcus neoformans var. grubii H99]	Basidiomycota	
XP_011387156.1	Ustilago maydis	XP_011387156.1 hypothetical protein UMAG_01220 [Ustilago maydis 521]	Basidiomycota	
RIB17962.1	Gigaspora rosea	RIB17962.1 hypothetical protein C2G38_2185932 [Gigaspora rosea]	Mucoromycota	
EXX74607.1	Rhizophagus irregularis	EXX74607.1 Ssd1p [Rhizophagus irregularis DAOM 197198w]	Mucoromycota	
OAQ31519.1	Mortierella elongata	OAQ31519.1 RNB-domain-containing protein [Mortierella elongata AG-77]	Mucoromycota	
OAQ23985.1	Mortierella elongata	OAQ23985.1 RNB-domain-containing protein [Mortierella elongata AG-77]	Mucoromycota	
XP_021880184.1	Lobosporangium transversale	XP_021880184.1 hypothetical protein BCR41DRAFT_356295 [Lobosporangium transversale]	Mucoromycota	
CDH60523.1	Lichtheimia corymbifera	CDH60523.1 rnb-domain-containing protein [Lichtheimia corymbifera JMRC:FSU:9682]	Mucoromycota	
XP_018293059.1	Phycomyces blakesleeanus	"XP_018293059.1 hypothetical protein PHYBLDRAFT_96474, partial [Phycomyces blakesleeanus NRRL 1555(-)]"	Mucoromycota	
OBZ90828.1	Choanephora cucurbitarum	OBZ90828.1 DIS3-like exonuclease 2 [Choanephora cucurbitarum]	Mucoromycota	
EPB92428.1	Mucor circinelloides	EPB92428.1 hypothetical protein HMPREF1544_00726 [Mucor circinelloides f. circinelloides 1006PhL]	Mucoromycota	
EIE79534.1	Rhizopus delemar	EIE79534.1 hypothetical protein RO3G_04239 [Rhizopus delemar RA 99-880]	Mucoromycota	
XP_018297613.1	Phycomyces blakesleeanus	XP_018297613.1 hypothetical protein PHYBLDRAFT_75561 [Phycomyces blakesleeanus NRRL 1555(-)]	Mucoromycota	
EPB81809.1	Mucor circinelloides	EPB81809.1 hypothetical protein HMPREF1544_11465 [Mucor circinelloides f. circinelloides 1006PhL]	Mucoromycota	
EIE87097.1	Rhizopus delemar	EIE87097.1 hypothetical protein RO3G_11808 [Rhizopus delemar RA 99-880]	Mucoromycota	
OBZ83463.1	Choanephora cucurbitarum	OBZ83463.1 DIS3-like exonuclease 2 [Choanephora cucurbitarum]	Mucoromycota	
CDH55297.1	Lichtheimia corymbifera	CDH55297.1 rnb-domain-containing protein [Lichtheimia corymbifera JMRC:FSU:9682]	Mucoromycota	
XP_016610762.1	Spizellomyces punctatus	XP_016610762.1 VacB and RNase II family 3'-5' exoribonuclease [Spizellomyces punctatus DAOM BR117]	Other fungi	
CDH58442.1	Lichtheimia corymbifera	CDH58442.1 rnb-domain-containing protein [Lichtheimia corymbifera JMRC:FSU:9682]	Mucoromycota	
CDH53421.1	Lichtheimia corymbifera	CDH53421.1 rnb-domain-containing protein [Lichtheimia corymbifera JMRC:FSU:9682]	Mucoromycota	
XP_018295507.1	Phycomyces blakesleeanus	"XP_018295507.1 hypothetical protein PHYBLDRAFT_96349, partial [Phycomyces blakesleeanus NRRL 1555(-)]"	Mucoromycota	
OBZ81863.1	Choanephora cucurbitarum	OBZ81863.1 Virulence protein SSD1 [Choanephora cucurbitarum]	Mucoromycota	
EPB91856.1	Mucor circinelloides	EPB91856.1 hypothetical protein HMPREF1544_01365 [Mucor circinelloides f. circinelloides 1006PhL]	Mucoromycota	
XP_018288856.1	Phycomyces blakesleeanus	"XP_018288856.1 hypothetical protein PHYBLDRAFT_114861, partial [Phycomyces blakesleeanus NRRL 1555(-)]"	Mucoromycota	
EIE78579.1	Rhizopus delemar	EIE78579.1 hypothetical protein RO3G_03283 [Rhizopus delemar RA 99-880]	Mucoromycota	
