# Dis3L2_BLASTp_select_features.txt
# Information and features of Dis3L2/Ssd1 homologs 
# calculated from Dis3L2_BLASTp_select_fullseqs_mafftlocal.fasta, etc.
# taxonomic info, active site, cbk1 consensus phosphorylation site, cdk1 sites, nuclear localisation sequence
# see estimate_features_Dis3L2_only.Rmd for full descriptions and code
# Edward.Wallace@ed.ac.uk, 17 July 2020
# 
ID	Organism	Info	Clade	Extension	activesite	cbk1cons_count	cbk1dock_count	cdk1cons_count	cdk1consdock_count	cdk1cons_Ntcount	cdk1consdock_Ntcount	NLS_bi_count	NLS_mono_count	NLS_Ssd1like
NP_010579.1	Saccharomyces cerevisiae	NP_010579.1 mRNA-binding translational repressor SSD1 [Saccharomyces cerevisiae S288C]	Saccharomycotina	Ssd1	FALSE	7	2	2	2	1	1	1	1	TRUE
XP_446854.1	Candida glabrata	XP_446854.1 uncharacterized protein CAGL0H01287g [Candida glabrata]	Saccharomycotina	NA	FALSE	6	2	2	1	1	1	0	1	TRUE
NP_982470.1	Eremothecium gossypii	NP_982470.1 AAL072Cp [Eremothecium gossypii ATCC 10895]	Saccharomycotina	NA	FALSE	7	2	2	2	1	1	1	1	TRUE
XP_452671.1	Kluyveromyces lactis	XP_452671.1 uncharacterized protein KLLA0_C10571g [Kluyveromyces lactis]	Saccharomycotina	NA	FALSE	8	2	3	0	2	0	0	1	TRUE
XP_721868.2	Candida albicans	XP_721868.2 mRNA-binding translational repressor [Candida albicans SC5314]	Saccharomycotina	Ssd1	FALSE	8	2	2	3	2	2	0	1	TRUE
XP_462426.1	Debaryomyces hansenii	XP_462426.1 DEHA2G20328p [Debaryomyces hansenii CBS767]	Saccharomycotina	NA	FALSE	9	2	2	4	1	1	0	1	TRUE
XP_028889211.1	Candida auris	XP_028889211.1 uncharacterized protein CJI97_004362 [Candida auris]	Saccharomycotina	NA	FALSE	8	2	3	3	2	2	0	1	TRUE
ODV97345.1	Pachysolen tannophilus	ODV97345.1 hypothetical protein PACTADRAFT_40282 [Pachysolen tannophilus NRRL Y-2460]	Saccharomycotina	NA	FALSE	7	2	4	2	3	1	0	1	TRUE
XP_002491774.1	Komagataella phaffii	XP_002491774.1 Protein with a role in maintenance of cellular integrity [Komagataella phaffii GS115]	Saccharomycotina	NA	FALSE	6	2	2	1	2	0	0	2	TRUE
XP_505385.1	Yarrowia lipolytica	XP_505385.1 YALI0F13717p [Yarrowia lipolytica CLIB122]	Saccharomycotina	NA	FALSE	6	2	3	3	3	0	0	1	TRUE
SMY19906.1	Zymoseptoria tritici	SMY19906.1 unnamed protein product [Zymoseptoria tritici ST99CH_1A5]	Pezizomycotina	NA	TRUE	6	3	1	2	0	0	0	1	TRUE
XP_001797133.1	Parastagonospora nodorum	XP_001797133.1 hypothetical protein SNOG_06769 [Parastagonospora nodorum SN15]	Pezizomycotina	NA	TRUE	6	3	1	4	0	0	0	1	TRUE
XP_001590366.1	Sclerotinia sclerotiorum	XP_001590366.1 hypothetical protein SS1G_09131 [Sclerotinia sclerotiorum 1980 UF-70]	Pezizomycotina	NA	TRUE	6	2	1	0	0	0	0	1	TRUE
XP_961563.2	Neurospora crassa	XP_961563.2 cell wall biogenesis protein phosphatase Ssd1 [Neurospora crassa OR74A]	Pezizomycotina	NA	FALSE	7	2	0	3	0	0	0	1	TRUE
XP_011326696.1	Fusarium graminearum	XP_011326696.1 hypothetical protein FGSG_07009 [Fusarium graminearum PH-1]	Pezizomycotina	NA	FALSE	5	2	1	3	0	0	0	1	TRUE
EEH08335.1	Histoplasma capsulatum	EEH08335.1 conserved hypothetical protein [Histoplasma capsulatum G186AR]	Pezizomycotina	NA	TRUE	6	3	2	3	0	0	0	1	TRUE
XP_001243079.2	Coccidioides immitis	XP_001243079.2 VacB and RNase II family 3'-5' exoribonuclease [Coccidioides immitis RS]	Pezizomycotina	NA	FALSE	6	3	2	2	0	0	0	1	TRUE
XP_752507.1	Aspergillus fumigatus	XP_752507.1 cell wall biogenesis protein phosphatase Ssd1, putative [Aspergillus fumigatus Af293]	Pezizomycotina	NA	FALSE	6	3	3	2	1	0	0	1	TRUE
XP_658762.1	Aspergillus nidulans	XP_658762.1 hypothetical protein AN1158.2 [Aspergillus nidulans FGSC A4]	Pezizomycotina	NA	FALSE	6	3	2	4	1	1	0	1	TRUE
CRL22673.1	Penicillium camemberti	CRL22673.1 Ribonuclease II/R [Penicillium camemberti]	Pezizomycotina	NA	FALSE	6	3	1	2	0	0	0	1	TRUE
XP_002839150.1	Tuber melanosporum	XP_002839150.1 hypothetical protein [Tuber melanosporum Mel28]	Pezizomycotina	NA	FALSE	6	3	3	3	0	0	0	1	TRUE
ORY78509.1	Protomyces lactucaedebilis	ORY78509.1 hypothetical protein BCR37DRAFT_350168 [Protomyces lactucaedebilis]	Taphrinomycotina	1	FALSE	6	3	3	1	2	0	1	1	TRUE
ODQ70873.1	Lipomyces starkeyi	ODQ70873.1 hypothetical protein LIPSTDRAFT_160987 [Lipomyces starkeyi NRRL Y-11557]	Saccharomycotina	NA	FALSE	5	2	2	4	0	0	0	2	TRUE
XP_019020799.1	Saitoella complicata	XP_019020799.1 RNB-domain-containing protein [Saitoella complicata NRRL Y-17804]	Taphrinomycotina	1	FALSE	6	3	2	0	0	0	1	2	TRUE
GAO51867.1	Saitoella complicata	GAO51867.1 hypothetical protein G7K_5958-t1 [Saitoella complicata NRRL Y-17804]	Taphrinomycotina	2	FALSE	5	3	2	0	0	0	1	2	TRUE
ODV91698.1	Tortispora caseinolytica	ODV91698.1 hypothetical protein CANCADRAFT_55517 [Tortispora caseinolytica NRRL Y-17796]	Saccharomycotina	NA	FALSE	7	1	1	4	1	1	0	1	TRUE
XP_003324138.1	Puccinia graminis	XP_003324138.1 hypothetical protein PGTG_06040 [Puccinia graminis f. sp. tritici CRL 75-36-700-3]	Basidiomycota	NA	TRUE	5	2	2	3	1	0	0	1	TRUE
XP_007329347.1	Agaricus bisporus	XP_007329347.1 hypothetical protein AGABI1DRAFT_113317 [Agaricus bisporus var. burnettii JB137-S8]	Basidiomycota	NA	TRUE	5	3	1	3	0	0	0	1	TRUE
EGO01908.1	Serpula lacrymans	EGO01908.1 hypothetical protein SERLA73DRAFT_48904 [Serpula lacrymans var. lacrymans S7.3]	Basidiomycota	NA	TRUE	5	2	1	5	0	0	0	1	TRUE
XP_012050922.1	Cryptococcus neoformans	XP_012050922.1 hypothetical protein CNAG_03345 [Cryptococcus neoformans var. grubii H99]	Basidiomycota	NA	TRUE	8	1	1	2	0	1	0	1	TRUE
XP_011387156.1	Ustilago maydis	XP_011387156.1 hypothetical protein UMAG_01220 [Ustilago maydis 521]	Basidiomycota	NA	TRUE	8	1	1	2	0	0	0	1	TRUE
RIB17962.1	Gigaspora rosea	RIB17962.1 hypothetical protein C2G38_2185932 [Gigaspora rosea]	Mucoromycota	NA	TRUE	6	1	1	3	0	1	1	3	TRUE
EXX74607.1	Rhizophagus irregularis	EXX74607.1 Ssd1p [Rhizophagus irregularis DAOM 197198w]	Mucoromycota	NA	TRUE	8	1	2	2	0	0	1	3	TRUE
OAQ31519.1	Mortierella elongata	OAQ31519.1 RNB-domain-containing protein [Mortierella elongata AG-77]	Mucoromycota	1	TRUE	0	0	2	1	0	0	0	0	FALSE
OAQ23985.1	Mortierella elongata	OAQ23985.1 RNB-domain-containing protein [Mortierella elongata AG-77]	Mucoromycota	2	TRUE	3	0	2	3	1	2	0	0	TRUE
XP_021880184.1	Lobosporangium transversale	XP_021880184.1 hypothetical protein BCR41DRAFT_356295 [Lobosporangium transversale]	Mucoromycota	NA	TRUE	3	0	1	3	0	1	0	0	FALSE
CDH60523.1	Lichtheimia corymbifera	CDH60523.1 rnb-domain-containing protein [Lichtheimia corymbifera JMRC:FSU:9682]	Mucoromycota	1	TRUE	3	0	4	5	2	1	0	7	TRUE
XP_018293059.1	Phycomyces blakesleeanus	XP_018293059.1 hypothetical protein PHYBLDRAFT_96474, partial [Phycomyces blakesleeanus NRRL 1555(-)]	Mucoromycota	1	TRUE	0	0	2	1	0	0	1	1	TRUE
OBZ90828.1	Choanephora cucurbitarum	OBZ90828.1 DIS3-like exonuclease 2 [Choanephora cucurbitarum]	Mucoromycota	1	TRUE	0	0	1	3	0	0	2	2	TRUE
